Date                	Time                	Reading             	Alarm               	
7/6/2017            	5:57:24 PM          	60.058 °C           	                    	
7/6/2017            	5:57:35 PM          	60.054 °C           	                    	
7/6/2017            	5:57:48 PM          	60.047 °C           	                    	
7/6/2017            	5:57:55 PM          	60.046 °C           	                    	
7/6/2017            	5:58:05 PM          	60.038 °C           	                    	
7/6/2017            	5:58:15 PM          	60.033 °C           	                    	
7/6/2017            	5:58:28 PM          	60.031 °C           	                    	
7/6/2017            	5:58:35 PM          	60.033 °C           	                    	
7/6/2017            	5:58:45 PM          	60.038 °C           	                    	
7/6/2017            	5:58:55 PM          	60.042 °C           	                    	
7/6/2017            	5:59:09 PM          	60.039 °C           	                    	
7/6/2017            	5:59:15 PM          	60.033 °C           	                    	
7/6/2017            	5:59:25 PM          	60.030 °C           	                    	
7/6/2017            	5:59:35 PM          	60.022 °C           	                    	
7/6/2017            	5:59:48 PM          	60.022 °C           	                    	
7/6/2017            	5:59:55 PM          	60.022 °C           	                    	
7/6/2017            	6:00:05 PM          	60.025 °C           	                    	
7/6/2017            	6:00:15 PM          	60.030 °C           	                    	
7/6/2017            	6:00:28 PM          	60.034 °C           	                    	
7/6/2017            	6:00:35 PM          	60.035 °C           	                    	
7/6/2017            	6:00:45 PM          	60.036 °C           	                    	
7/6/2017            	6:00:55 PM          	60.033 °C           	                    	
7/6/2017            	6:01:16 PM          	60.040 °C           	                    	
7/6/2017            	6:01:25 PM          	60.045 °C           	                    	
7/6/2017            	6:01:35 PM          	60.051 °C           	                    	
7/6/2017            	6:01:48 PM          	60.053 °C           	                    	
7/6/2017            	6:01:55 PM          	60.054 °C           	                    	
7/6/2017            	6:02:05 PM          	60.048 °C           	                    	
7/6/2017            	6:02:15 PM          	60.047 °C           	                    	
7/6/2017            	6:02:28 PM          	60.042 °C           	                    	
7/6/2017            	6:02:35 PM          	60.043 °C           	                    	
7/6/2017            	6:02:45 PM          	60.036 °C           	                    	
7/6/2017            	6:02:55 PM          	60.036 °C           	                    	
7/6/2017            	6:03:08 PM          	60.035 °C           	                    	
7/6/2017            	6:03:15 PM          	60.032 °C           	                    	
7/6/2017            	6:03:25 PM          	60.033 °C           	                    	
7/6/2017            	6:03:35 PM          	60.035 °C           	                    	
7/6/2017            	6:03:49 PM          	60.039 °C           	                    	
7/6/2017            	6:03:55 PM          	60.040 °C           	                    	
7/6/2017            	6:04:05 PM          	60.042 °C           	                    	
