Date                	Time                	Reading             	Alarm               	
7/6/2017            	5:57:00 PM          	60.058 °C           	                    	
7/6/2017            	5:58:00 PM          	60.038 °C           	                    	
7/6/2017            	5:59:00 PM          	60.039 °C           	                    	
7/6/2017            	6:00:00 PM          	60.033 °C           	                    	
7/6/2017            	6:01:00 PM          	59.030 °C           	                    	
7/6/2017            	6:02:00 PM          	55.022 °C           	                    	
7/6/2017            	6:03:00 PM          	52.022 °C           	                    	
7/6/2017            	6:04:00 PM          	47.022 °C           	                    	
7/6/2017            	6:05:00 PM          	45.025 °C           	                    	
7/6/2017            	6:06:00 PM          	40.030 °C           	                    	
7/6/2017            	6:07:00 PM          	37.034 °C           	                    	
7/6/2017            	6:08:00 PM          	35.035 °C           	                    	
7/6/2017            	6:09:00 PM          	30.036 °C           	                    	
7/6/2017            	6:10:00 PM          	29.033 °C           	                    	
7/6/2017            	6:11:00 PM          	26.040 °C           	                    	
7/6/2017            	6:12:00 PM          	25.045 °C           	                    	
7/6/2017            	6:13:00 PM          	22.051 °C           	                    	
7/6/2017            	6:14:00 PM          	21.053 °C           	                    	
7/6/2017            	6:15:00 PM          	20.054 °C           	                    	
7/6/2017            	6:16:00 PM          	17.048 °C           	                    	
7/6/2017            	6:17:00 PM          	14.047 °C           	                    	
7/6/2017            	6:18:00 PM          	12.042 °C           	                    	
7/6/2017            	6:19:00 PM          	8.043 °C           	                    	
7/6/2017            	6:20:00 PM          	3.036 °C           	                    	
7/6/2017            	6:21:00 PM          	0.036 °C           	                    	
7/6/2017            	6:22:00 PM          	-5.035 °C           	                    	
7/6/2017            	6:23:00 PM          	-10.032 °C           	                    	
7/6/2017            	6:24:00 PM          	-15.033 °C           	                    	
7/6/2017            	6:25:00 PM          	-20.035 °C           	                    	
7/6/2017            	6:26:00 PM          	-21.039 °C           	                    	
7/6/2017            	6:27:00 PM          	-22.040 °C           	                    	
7/6/2017            	6:28:00 PM          	-21.042 °C           	                    	
7/6/2017            	6:29:00 PM          	-22.046 °C           	                    	
7/6/2017            	6:30:00 PM          	-23.050 °C           	                    	
7/6/2017            	6:31:00 PM          	-25.051 °C           	                    	
